Test,n_sources,"ma , _out_degree",n_nodes,"ma , _instances",n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges
convert-float8-char8_sat_rtz,6,8,95,1,80,82,5,1,2,3,0,208
abs_diff-char8,2,4,15,1,4,7,3,1,1,3,0,20
convert-float8-char8_sat_rte,6,8,95,1,80,82,5,1,2,0,0,208
rotate-int,2,2,9,1,4,7,4,1,1,8,0,10
convert-float8-char8_sat_rtn,6,8,95,1,80,82,5,1,2,3,0,208
"ma , -char3",4,2,16,1,7,11,4,2,1,14,0,18
convert-float-int_sat_rte,6,4,17,1,9,11,4,1,1,0,0,25
select-char16,3,8,68,1,40,44,4,1,1,0,0,112
convert-float-int_sat_rtn,6,4,17,1,9,11,4,1,1,1,0,25
convert-float-int_sat_rtp,6,4,17,1,9,11,4,1,1,15,0,25
convert-float-int_sat_rtz,6,4,17,1,9,11,4,1,1,3,0,25
convert-char8-ushort8,1,4,10,1,4,6,3,1,1,0,0,12
min-int,2,1,6,1,1,4,3,1,1,1,0,5
bilinear-upsample-general-pma,2,4,12,1,6,9,4,2,1,12,0,16
convert-uint16-short16,2,8,19,1,0,3,2,1,1,8,0,32
sqrt-float8,1,8,18,1,8,10,3,1,1,14,8,24
sqrt-float2,1,2,6,1,2,4,3,1,1,15,2,6
sqrt-float3,1,3,8,1,3,5,3,1,1,15,3,9
mad_hi-short,3,1,9,1,2,6,4,1,1,0,0,8
sqrt-float4,1,4,10,1,4,6,3,1,1,1,4,12
i16-acc-reduce_add,2,1,6,2,1,5,3,1,1,0,0,5
convert-ushort-uchar,1,1,3,1,0,2,2,1,1,12,0,2
mul-sinpi-float4,2,4,15,1,4,7,3,1,1,1,4,20
abs-char4,1,2,6,1,2,4,3,1,1,0,0,6
clamp-char2,3,2,14,1,7,11,5,1,1,15,0,16
abs-char2,1,1,4,1,1,3,3,1,1,14,0,3
abs-char3,3,2,10,1,4,7,4,2,1,8,0,9
clamp-char8,3,4,44,1,28,32,5,1,1,0,0,64
abs-char8,1,4,10,1,4,6,3,1,1,1,0,12
isequal-float8,2,8,35,1,16,19,4,1,1,1,0,48
convert-uint8-float8,1,8,18,1,8,10,3,1,1,8,0,24
sub_sat-uint16,4,8,70,1,32,38,4,2,1,14,0,112
clamp-char3,5,2,24,1,12,17,5,2,1,0,0,28
clamp-char4,3,2,24,1,14,18,5,1,1,1,0,32
convert-short16-int16,1,8,27,1,16,19,3,2,1,1,0,40
convert-float2-uint2_sat,3,4,24,1,18,20,4,1,2,1,0,46
load-store-bound-3,2,8,36,1,16,20,3,2,2,0,0,64
min_scalar-float8,2,8,20,1,8,11,3,1,1,12,0,33
mul-basic-uint-1_pma,2,8,43,1,24,27,3,1,1,0,0,88
cmp-basic-char-1_pma,2,8,19,1,8,10,3,1,1,1,0,32
"ma , _scalar-float8",2,8,20,1,8,11,3,1,1,1,0,33
vec_step-char16,1,1,3,1,0,2,2,1,1,8,0,2
addpool3,3,6,38,1,16,20,9,1,2,4,0,68
rhadd-short,3,1,9,1,3,6,4,1,1,0,0,8
convert-short4-float4,1,2,8,1,4,6,3,1,1,8,0,10
convert-short3-int3,1,2,7,1,3,5,3,1,1,8,0,8
"ma , -char4",2,2,15,1,8,11,4,1,1,14,0,20
convert-ushort8-float8_rtn,1,4,14,1,8,10,3,1,1,15,0,20
convert-ushort8-float8_rte,1,4,14,1,8,10,3,1,1,8,0,20
vec_step-uint4,1,1,3,1,0,2,2,1,1,8,0,2
"min_ma , _i8_one_instr",2,2,15,1,8,11,4,1,1,0,0,20
vec_step-uint2,1,1,3,1,0,2,2,1,1,15,0,2
vec_step-uint3,1,1,3,1,0,2,2,1,1,15,0,2
convert-uint2-char2,1,2,4,1,0,2,2,1,1,1,0,4
convert-ushort8-float8_rtp,1,4,14,1,8,10,3,1,1,15,0,20
vec_step-uint8,1,1,3,1,0,2,2,1,1,15,0,2
convert-float4-int4_sat_rtp,6,4,47,1,36,38,4,1,2,1,0,100
convert-uchar16-uint16,4,8,22,1,8,13,3,3,1,8,0,26
rotate-ushort16,2,8,51,1,32,35,4,1,1,15,0,80
mad_sat-uint3,4,7,62,1,48,52,6,1,1,1,0,126
convert-float4-int4_sat_rtz,6,4,47,1,36,38,4,1,2,1,0,100
mad_sat-uint4,4,8,81,1,64,68,6,1,1,5,0,168
reduce-blur-split,2,8,29,1,18,20,6,1,1,0,0,44
convert-float4-int4_sat_rte,6,4,47,1,36,38,4,1,2,3,0,100
sub_sat-uchar8,2,4,31,1,20,23,5,1,2,15,0,52
sub_sat-uchar4,2,2,17,1,10,13,5,1,2,14,0,26
sub_sat-uchar3,4,2,18,1,9,13,4,2,1,1,0,23
convert-float4-int4_sat_rtn,6,4,47,1,36,38,4,1,2,15,0,100
fabs-float16,2,8,36,1,16,20,3,2,1,1,0,48
convert-float-uint_rtz,1,1,4,1,1,3,3,1,1,1,0,3
bitselect-short3,5,2,20,1,8,12,4,1,1,8,0,24
convert-float-uint_rtp,1,1,4,1,1,3,3,1,1,14,0,3
convert-float-uint_rtn,1,1,4,1,1,3,3,1,1,0,0,3
i16-acc-and,2,1,5,2,1,4,3,1,1,14,0,4
store-7-bytes,7,3,20,1,9,11,3,1,1,1,2,25
convert-float-uint_rte,1,1,4,1,1,3,3,1,1,1,0,3
isless-float16,4,8,70,1,32,38,4,2,1,14,0,96
hsub_ushort16,2,8,27,1,8,11,3,1,1,0,0,40
convert-char4-int4,3,2,10,1,4,6,3,1,2,1,0,14
missing_wait_1,2,8,19,1,8,10,3,1,1,5,0,32
hadd-uint4,2,4,15,1,4,7,3,1,1,1,0,20
convert-uint2-int2,1,2,4,1,0,2,2,1,1,8,0,4
convert-float-uchar_rtn,1,1,4,1,1,3,3,1,1,1,0,3
hadd-uint2,2,2,9,1,2,5,3,1,1,0,0,10
hadd-uint3,2,3,12,1,3,6,3,1,1,1,0,15
dot-float2,2,2,10,1,3,6,4,1,1,12,0,11
hadd-uint8,2,8,27,1,8,11,3,1,1,1,0,40
convert-float-uchar_rte,1,1,4,1,1,3,3,1,1,0,0,3
convert-float-uchar_rtz,1,1,4,1,1,3,3,1,1,0,0,3
convert-float-uchar_rtp,1,1,4,1,1,3,3,1,1,1,0,3
fp2uint_ceil_with_shift,2,8,19,1,8,10,3,1,1,11,0,32
convert-char16-float16_rtp,2,16,44,1,32,35,5,2,1,1,0,72
convert-char16-float16_rtz,2,16,44,1,32,35,5,2,1,8,0,72
"sub_reduce_type_ze , t",7,4,26,1,10,14,5,2,1,3,0,35
abs-char,1,1,5,1,2,4,4,1,1,0,0,4
"iv-select-acc-lt-id , -outerLoop-ver2",2,1,6,3,2,8,4,1,1,0,0,5
sub-1d-int,2,8,19,1,8,10,3,1,1,1,0,32
convert-char16-float16_rte,2,16,44,1,32,35,5,2,1,15,0,72
select-uchar,4,1,11,1,3,7,5,1,1,0,0,10
verification-api-2-negative-pma,2,8,19,1,8,10,3,1,1,1,0,32
convert-char16-float16_rtn,2,16,44,1,32,35,5,2,1,3,0,72
convert-int8-uint8,1,8,10,1,0,2,2,1,1,1,0,16
racc-short2_pma,1,1,4,2,1,4,3,1,1,1,0,3
add-transformations-none-none-halve-char-1_pma,3,8,36,1,16,19,4,1,1,2,0,56
convert-uint4-ushort4,1,4,6,1,0,2,2,1,1,1,0,8
rhadd-ushort8,3,8,28,1,16,19,4,1,1,15,0,48
min-float4,2,4,15,1,4,7,3,1,1,15,0,20
convert-uchar4-char4,1,1,3,1,0,2,2,1,1,14,0,2
convert-float8-uchar8,1,8,18,1,8,10,3,1,1,1,0,24
rhadd-ushort2,3,2,10,1,4,7,4,1,1,1,0,12
rhadd-ushort3,3,3,14,1,6,9,4,1,1,1,0,19
convert-float3-short3_rtn,1,3,8,1,3,5,3,1,1,3,0,9
mad_sat-char16,7,16,112,1,80,84,6,1,1,0,0,200
convert-float8-int8,1,8,18,1,8,10,3,1,1,12,0,24
"iv-select-acc-lt-id , -innerLoop-ver2-i16",2,2,7,3,3,8,4,1,1,1,0,7
isless-float,2,1,6,1,1,4,3,1,1,15,0,5
mesw-10263_pma,7,8,43,1,16,22,3,2,1,1,0,68
pma_acopy_3D2_ushort,2,8,19,1,8,10,3,1,1,15,0,32
convert-short8-int8,1,4,14,1,8,10,3,1,1,0,0,20
convert-uchar2-short2,1,1,4,1,1,3,3,1,1,0,0,3
convert-char4-float4,2,4,13,1,8,10,5,1,1,15,0,18
convert-float4-char4,1,4,10,1,4,6,3,1,1,15,0,12
convert-int8-uchar8,1,8,10,1,0,2,2,1,1,0,0,16
convert-int8-ushort8,1,8,10,1,0,2,2,1,1,14,0,16
"e , p2-float8",1,8,18,1,8,10,3,1,1,1,8,24
sub_sat-ushort16,2,8,43,1,24,27,4,1,1,1,0,80
"e , p2-float4",1,4,10,1,4,6,3,1,1,1,4,12
"e , p2-float3",1,3,8,1,3,5,3,1,1,1,3,9
"e , p2-float2",1,2,6,1,2,4,3,1,1,1,2,6
dot-float,2,1,6,1,1,4,3,1,1,8,0,5
fillColorsChannelImage_part1_ver2,10,4,58,1,40,44,9,1,2,0,0,100
clamp-int8,3,8,44,1,16,20,4,1,1,15,0,64
clamp-int4,3,4,24,1,8,12,4,1,1,14,0,32
clamp-int3,3,3,19,1,6,10,4,1,1,1,0,24
clamp-int2,3,2,14,1,4,8,4,1,1,14,0,16
select-uint3,3,3,22,1,9,13,4,1,2,0,0,36
select-uint2,3,2,16,1,6,10,4,1,2,8,0,24
convert-char3-short3,1,2,6,1,2,4,3,1,1,15,0,6
bitselect-uint,4,2,12,1,4,8,4,1,1,15,0,12
select-uint4,3,4,28,1,12,16,4,1,2,0,0,48
select-uint8,3,8,52,1,24,28,4,1,2,3,0,96
add_low_rshift_sat_pos_b_uu,3,2,10,1,2,6,3,1,1,0,0,12
bitselect-short4,4,2,19,1,8,12,4,1,1,1,0,24
convert-float3-short3_rtp,1,3,8,1,3,5,3,1,1,1,0,9
convert-float2-int2_rtz,1,2,6,1,2,4,3,1,1,0,0,6
min-int4,2,4,15,1,4,7,3,1,1,8,0,20
convert-uchar3-ushort3,1,2,4,1,0,2,2,1,1,8,0,4
rhadd-uchar16,3,8,36,1,16,19,4,1,1,5,0,56
min-int2,2,2,9,1,2,5,3,1,1,0,0,10
min-int3,2,3,12,1,3,6,3,1,1,0,0,15
min-int8,2,8,27,1,8,11,3,1,1,8,0,40
convert-float2-int2_rtn,1,2,6,1,2,4,3,1,1,0,0,6
convert-ushort-char,1,1,3,1,0,2,2,1,1,14,0,2
fp_mad-imm,7,4,20,1,4,8,3,1,1,14,0,24
"min-ma , -int-1_pma",2,4,23,1,12,15,4,1,1,11,0,36
any-char,4,1,7,1,1,4,3,2,1,0,0,5
scatter-23-bytes,14,7,71,1,48,52,4,2,1,2,0,109
convert-char2-uchar2,1,1,3,1,0,2,2,1,1,8,0,2
mul_hi-uint,2,4,12,1,7,10,4,1,1,0,0,19
bitselect-char8,4,4,33,1,16,20,4,1,1,8,0,48
add_sat-ushort4,3,4,14,1,6,9,4,1,2,1,0,24
add_sat-ushort3,6,3,17,1,6,10,4,2,1,1,0,22
add_sat-ushort2,3,3,9,1,3,6,4,1,1,1,0,12
bitselect-char3,5,2,20,1,8,12,4,1,1,12,0,24
bitselect-char2,4,2,12,1,4,8,4,1,1,8,0,12
bitselect-char4,4,2,19,1,8,12,4,1,1,8,0,24
add_sat-ushort8,3,8,24,1,12,15,4,1,1,0,0,48
convert-short-float,1,1,4,1,1,3,3,1,1,1,0,3
masked_store_splat_iv_compare,5,4,33,2,19,27,4,1,1,0,0,54
outer_loop_acc_double-i16,2,1,7,3,3,10,5,1,1,11,0,6
convert-short2-float2_rtz,1,2,5,1,2,4,3,1,1,1,0,5
pma_acopy_2D4_short,2,8,19,1,8,10,3,1,1,0,0,32
fp_inv-vec8-manual,2,8,19,1,8,10,3,1,1,2,8,32
convert-float-short_sat,6,4,18,1,10,12,5,1,1,0,0,26
convert-short2-float2_rtn,1,2,5,1,2,4,3,1,1,8,0,5
rshift_sat_h_uu,2,4,15,1,4,7,3,1,1,0,0,20
any-short8,4,4,17,1,8,11,9,2,1,8,0,21
convert-short2-float2_rte,1,2,5,1,2,4,3,1,1,8,0,5
convert-char16-float16,2,16,44,1,32,35,5,2,1,0,0,72
any-short4,4,2,11,1,4,7,5,2,1,0,0,11
any-short3,4,2,10,1,3,6,4,2,1,0,0,9
any-short2,4,1,8,1,2,5,4,2,1,0,0,6
sub_sat-short,4,3,11,1,4,7,4,1,1,14,0,14
iv_use_i32,2,8,20,2,9,12,3,1,1,10,0,33
rhadd-uint,4,3,15,1,8,11,6,1,1,1,0,19
abs_diff-char,2,1,6,1,1,4,3,1,1,9,0,5
isless-float8,2,8,35,1,16,19,4,1,1,0,0,48
isless-float3,2,3,15,1,6,9,4,1,1,15,0,18
isless-float2,2,2,11,1,4,7,4,1,1,1,0,12
memnum_pma,2,8,27,1,8,11,3,1,1,14,0,40
isless-float4,2,4,19,1,8,11,4,1,1,15,0,24
select-short,3,1,9,1,2,6,4,1,1,15,0,8
convert-char3-ushort3,1,2,6,1,2,4,3,1,1,14,0,6
min-uchar2,2,2,7,1,2,5,3,1,1,0,0,8
radians-float8,2,8,19,1,8,10,3,1,1,1,0,32
add-non-splat-imm-1d-char16_pma,9,8,26,1,8,10,3,1,1,3,0,32
radians-float4,2,4,11,1,4,6,3,1,1,15,0,16
radians-float3,2,3,9,1,3,5,3,1,1,0,0,12
radians-float2,2,2,7,1,2,4,3,1,1,0,0,8
convert-char-float_rte,1,1,5,1,2,4,4,1,1,0,0,4
isnotequal-float,2,1,6,1,1,4,3,1,1,0,0,5
"ma , -int16",4,8,54,1,16,22,3,2,1,6,0,80
convert-float2-int2,1,2,6,1,2,4,3,1,1,15,0,6
convert-float8-short8_sat,6,8,95,1,80,82,5,1,2,6,0,208
step-float,3,2,9,1,3,6,4,1,1,12,0,10
convert-char-float_rtp,1,1,5,1,2,4,4,1,1,1,0,4
clamp-int4_scalar,3,4,18,1,8,12,4,1,1,14,0,26
convert-char-float_rtz,1,1,5,1,2,4,4,1,1,15,0,4
clamp-short16_scalar,3,16,46,1,32,36,4,1,1,9,0,90
convert-float3-ushort3,1,3,8,1,3,5,3,1,1,0,0,9
convert-float16-uchar16_rtz,2,8,35,1,16,19,3,1,1,1,0,48
cross_loops_accumulation_add,3,8,28,4,12,20,7,1,1,14,0,36
i16-acc-abs_diff-uchar-y-1op,2,1,6,2,1,5,3,1,1,7,0,5
convert-float16-uchar16_rtp,2,8,35,1,16,19,3,1,1,15,0,48
convert-float16-uchar16_rtn,2,8,35,1,16,19,3,1,1,0,0,48
convert-float16-uchar16_rte,2,8,35,1,16,19,3,1,1,6,0,48
convert-uchar2-char2,1,1,3,1,0,2,2,1,1,1,0,2
pos-abs-add-short_pma,2,4,31,1,20,23,4,1,1,3,0,44
smoothstep_scalar-float2,5,3,27,1,17,21,8,1,1,0,2,34
add_rshift_sat_h_uu,3,2,10,1,2,6,3,1,1,11,0,12
clamp-uint_scalar,3,1,9,1,2,6,4,1,1,1,0,8
convert-float8-char8_rtz,1,8,18,1,8,10,3,1,1,1,0,24
convert-ushort-float,1,1,4,1,1,3,3,1,1,1,0,3
racc-char16_pma,1,8,17,2,7,13,5,1,1,3,0,23
convert-char8-uint8,3,4,16,1,8,10,3,1,1,1,0,28
atan-mul-float,2,1,6,1,1,4,3,1,1,1,1,5
sub_sat-char4,4,4,37,1,28,31,5,1,2,1,0,72
scatter-with-bounds-short,2,1,5,1,0,3,2,1,1,3,0,4
racc-int8_pma,1,8,18,2,8,11,6,1,1,11,0,24
sub_sat-char3,6,4,34,1,23,27,5,2,2,1,0,58
mul_hi-uint4,2,4,39,1,28,31,4,1,1,1,0,76
convert-uint8-ushort8,1,8,10,1,0,2,2,1,1,1,0,16
convert-float4-ushort4_rtn,1,4,10,1,4,6,3,1,1,1,0,12
convert-float4-ushort4_rte,1,4,10,1,4,6,3,1,1,4,0,12
convert-float8-char8_sat,6,8,95,1,80,82,5,1,2,0,0,208
convert-char-short,1,1,4,1,1,3,3,1,1,0,0,3
"native_e , p-float3",2,3,9,1,3,5,3,1,1,15,3,12
convert-ushort8-float8_rtz,1,4,14,1,8,10,3,1,1,1,0,20
"native_e , p-float4",2,4,11,1,4,6,3,1,1,1,4,16
convert-float4-ushort4_rtz,1,4,10,1,4,6,3,1,1,1,0,12
add-interlace-1d-char_pma,3,8,44,1,32,34,4,1,2,11,0,88
"native_e , p-float8",2,8,19,1,8,10,3,1,1,0,8,32
convert-float4-ushort4_rtp,1,4,10,1,4,6,3,1,1,1,0,12
abs_diff-int8,2,8,27,1,8,11,3,1,1,0,0,40
mad_sat-char,6,3,16,1,6,10,6,1,1,0,0,17
abs_diff-int3,2,3,12,1,3,6,3,1,1,0,0,15
abs_diff-int2,2,2,9,1,2,5,3,1,1,8,0,10
abs_diff-int4,2,4,15,1,4,7,3,1,1,1,0,20
mul_hi-short,2,1,6,1,1,4,3,1,1,0,0,5
add_rshift_sat_pos_b_ii,3,2,10,1,2,6,3,1,1,1,0,12
cmp-basic-use-1_pma,3,16,44,1,24,27,4,1,1,1,0,80
shl-const-non-imm-mask-short-wide-2_pma,2,16,27,1,16,18,3,1,1,15,0,56
mul_hi-ushort4,2,2,11,1,4,7,3,1,2,8,0,16
bitselect-short,4,2,12,1,4,8,4,1,1,14,0,12
mul_hi-ushort2,2,2,7,1,2,5,3,1,1,4,0,8
mul_hi-ushort3,4,2,12,1,3,7,3,2,1,15,0,14
mul_hi-ushort8,2,4,19,1,8,11,3,1,2,8,0,32
convert-ushort2-short2,1,1,3,1,0,2,2,1,1,8,0,2
a-plus-b-wide,4,8,54,1,16,22,3,2,1,12,0,80
convert-uchar3-float3_rtz,1,2,7,1,3,5,3,1,1,8,0,8
add_sat-char2,4,4,21,1,14,17,5,1,2,15,0,36
add_sat-char3,6,4,34,1,23,27,5,2,2,8,0,58
convert-uchar3-float3_rtp,1,2,7,1,3,5,3,1,1,8,0,8
add_sat-char4,4,4,37,1,28,31,5,1,2,8,0,72
convert-uchar3-float3_rtn,1,2,7,1,3,5,3,1,1,0,0,8
convert-char4-uint4,3,2,10,1,4,6,3,1,2,1,0,14
iters-for-sink-hoist_pma,3,5,15,1,5,9,3,2,1,15,0,20
convert-uchar3-float3_rte,1,2,7,1,3,5,3,1,1,1,0,8
all-int,2,1,5,1,1,3,3,1,1,5,0,4
sub_sat-short16,4,16,77,1,56,59,4,1,1,3,0,192
any-int,2,1,5,1,1,3,3,1,1,1,0,4
vec_step-uint16,1,1,3,1,0,2,2,1,1,12,0,2
racc-char4_pma,1,2,5,2,1,4,3,1,1,0,0,5
rotate-ushort8,2,4,27,1,16,19,4,1,1,8,0,40
convert-uint16-float16,2,8,36,1,16,20,3,2,1,1,0,48
rotate-ushort4,2,2,15,1,8,11,4,1,1,1,0,20
linearize_vec2,8,2,29,1,16,19,7,1,2,9,0,44
rotate-ushort2,2,2,9,1,4,7,4,1,1,0,0,10
sub-transformations-none-none-sat-uint-1_pma,2,8,35,1,16,19,4,1,1,15,0,56
convert-float4-uchar4,1,4,10,1,4,6,3,1,1,12,0,12
convert-char8-float8,2,8,23,1,16,18,5,1,1,8,0,36
mul_hi-uchar,4,2,11,1,4,7,5,1,1,1,0,11
outer_loop_acc_simple,2,1,6,3,2,7,4,1,1,1,0,5
cmp-basic-float8_pma,2,8,19,1,8,10,3,1,1,14,0,32
imageWarp,12,12,132,2,98,110,12,1,1,14,0,228
convert-float-char_rtz,1,1,4,1,1,3,3,1,1,12,0,3
mad_sat-ushort16,4,16,61,1,32,36,4,1,1,14,0,120
convert-float-char_rtp,1,1,4,1,1,3,3,1,1,1,0,3
clamp-char3_scalar,5,3,20,1,10,15,5,2,1,3,0,24
convert-float-char_rtn,1,1,4,1,1,3,3,1,1,8,0,3
"min_ma , _u16_one_instr",2,2,11,1,4,7,3,1,2,1,0,16
iv-modulo-2,3,2,8,2,3,6,4,1,1,14,0,8
clamp-short8,3,4,32,1,16,20,4,1,1,1,0,52
clamp-short4,3,2,18,1,8,12,4,1,2,0,0,26
add-transformations-abs-pos-sat-char-1_pma,3,16,100,1,80,83,8,1,1,14,0,168
clamp-short2,3,2,11,1,4,8,4,1,1,1,0,13
reduce-blur-horizontal,5,8,46,1,24,27,6,1,1,15,0,80
mul_hi-ushort16,2,8,35,1,16,19,3,1,2,0,0,64
convert-ushort2-uint2,3,1,5,1,0,3,2,2,1,0,0,3
convert-short4-float4_rte,1,2,8,1,4,6,3,1,1,0,0,10
mad_sat-short3,5,3,24,1,12,16,6,1,1,15,0,33
abs-int16,2,8,36,1,16,20,3,2,1,0,0,48
convert-short4-float4_rtn,1,2,8,1,4,6,3,1,1,5,0,10
convert-short4-float4_rtp,1,2,8,1,4,6,3,1,1,5,0,10
sub_sat-uchar2,2,2,10,1,5,8,5,1,1,0,0,13
convert-short4-float4_rtz,1,2,8,1,4,6,3,1,1,15,0,10
convert-float4-uchar4_sat_rtp,7,4,56,1,44,46,6,1,2,1,0,112
convert-uchar3-uint3,3,2,6,1,0,3,2,2,1,0,0,5
upsample-uchar,4,1,10,1,3,6,4,1,1,0,0,9
convert-int2-uint2,1,2,4,1,0,2,2,1,1,15,0,4
convert-float4-uchar4_sat_rtz,7,4,56,1,44,46,6,1,2,0,0,112
add-basic-float-1_pma,2,8,27,1,8,11,3,1,1,2,0,40
"fma , -basic-float-1_pma",2,8,27,1,8,11,3,1,1,11,0,40
convert-float4-uchar4_sat_rte,7,4,56,1,44,46,6,1,2,1,0,112
convert-uchar16-float16,1,8,27,1,16,19,3,2,1,1,0,40
"i16-acc-add-char- , ",2,1,6,2,1,5,3,1,1,11,0,5
i16-acc-add-char-y,2,1,6,2,1,5,3,1,1,0,0,5
a-plus-b-unaligned-int,2,2,9,1,2,5,3,1,1,14,0,10
convert-float4-uchar4_sat_rtn,7,4,56,1,44,46,6,1,2,0,0,112
convert-short2-int2,1,2,5,1,2,4,3,1,1,1,0,5
outer_loop_acc_simple_with_outer_init-i16,4,1,10,3,3,9,4,1,1,2,0,9
convert-float3-uchar3,1,3,8,1,3,5,3,1,1,0,0,9
rotate-char16,3,16,92,1,72,75,6,1,1,1,0,136
add_low_rshift_sat_h_ii,3,8,28,1,8,12,3,1,1,11,0,48
add_low_rshift_sat_h_iu,3,4,16,1,4,8,3,1,1,1,0,24
"mul-basic-e , tended-short-short-int_pma",2,4,19,1,8,11,3,1,2,0,0,32
add_sat-uint16,5,16,87,1,48,54,4,2,1,1,0,144
masked_store_splat_big_ref_splitLeftRigh,6,8,74,2,34,56,6,2,1,1,0,102
convert-char2-ushort2,1,1,4,1,1,3,3,1,1,15,0,3
cmp-basic-char16-1_pma,10,8,35,1,16,18,4,1,1,12,0,48
upsample-ushort4,3,4,12,1,4,7,3,1,2,1,0,20
convert-float4-short4_rte,1,4,10,1,4,6,3,1,1,12,0,12
mul_hi-short8,2,4,19,1,8,11,3,1,2,1,0,32
convert-ushort8-uint8,3,4,8,1,0,3,2,2,1,1,0,9
convert-short-float_rtp,1,1,4,1,1,3,3,1,1,12,0,3
mul_hi-short2,2,2,7,1,2,5,3,1,1,0,0,8
mul_hi-short3,4,2,12,1,3,7,3,2,1,15,0,14
"mi , -float",3,2,10,1,3,7,5,1,1,15,0,10
convert-float4-short4_rtn,1,4,10,1,4,6,3,1,1,14,0,12
mul_hi-short4,2,2,11,1,4,7,3,1,2,5,0,16
convert-short-float_rtz,1,1,4,1,1,3,3,1,1,3,0,3
convert-short-float_rte,1,1,4,1,1,3,3,1,1,3,0,3
convert-float4-short4_rtp,1,4,10,1,4,6,3,1,1,1,0,12
combine-iv-and-data-conditions-4,2,3,10,2,5,10,4,1,1,12,0,15
combine-iv-and-data-conditions-5,3,2,9,2,3,7,4,1,1,1,0,10
combine-iv-and-data-conditions-2,2,3,9,2,4,8,3,1,1,1,0,13
convert-float4-short4_rtz,1,4,10,1,4,6,3,1,1,1,0,12
add-1d-char_pma,2,8,27,1,8,11,3,1,1,1,0,40
add-non-splat-non-imm-1d-char8_pma,3,4,12,1,4,6,3,1,1,11,0,16
rhadd-char8,3,4,24,1,12,15,4,1,1,15,0,32
add_low_rshift_sat_h_uu,3,8,28,1,8,12,3,1,1,1,0,48
events_array,2,8,27,1,8,11,3,1,1,0,0,40
events_struct,2,8,27,1,8,11,3,1,1,12,0,40
rhadd-char2,3,1,9,1,3,6,4,1,1,15,0,8
convert-int4-ushort4,1,4,6,1,0,2,2,1,1,15,0,8
rhadd-char4,3,2,14,1,6,9,4,1,1,12,0,16
clamp-uint4_scalar,3,4,18,1,8,12,4,1,1,15,0,26
"iv-select-acc-eq-id , -outerLoop-ver2",2,1,6,3,2,8,4,1,1,1,0,5
hadd-ushort8,2,4,15,1,4,7,3,1,1,5,0,20
bitselect-short16,4,8,61,1,32,36,4,1,1,15,0,96
shifts-multiple-const-non-imm-mask-int-2_pma,3,16,44,1,32,34,5,1,1,12,0,80
shufflevector-float-1_pma,2,2,7,1,0,3,2,1,1,1,0,8
all-char3,6,2,14,1,5,8,6,2,1,15,0,14
clamp-int8_scalar,3,8,30,1,16,20,4,1,1,1,0,50
"min-ma , -short-1_pma",2,4,31,1,20,23,4,1,1,12,0,56
convert-short8-float8,1,4,14,1,8,10,3,1,1,15,0,20
mul-basic-uchar-1_pma,2,8,27,1,8,11,3,1,1,5,0,40
hadd-ushort3,4,2,11,1,2,6,3,2,1,15,0,11
add-interlace-1d-int2_pma,3,4,13,1,4,7,3,1,1,1,0,18
mad_hi-uint,3,4,15,1,8,12,5,1,1,15,0,22
hadd-ushort2,2,1,6,1,1,4,3,1,1,1,0,5
min-ushort16,2,8,35,1,16,19,3,1,2,15,0,64
isequal-float4,2,4,19,1,8,11,4,1,1,0,0,24
isequal-float3,2,3,15,1,6,9,4,1,1,0,0,18
isequal-float2,2,2,11,1,4,7,4,1,1,0,0,12
clamp-uchar,3,1,9,1,2,6,4,1,1,14,0,8
convert-ushort3-float3_rtz,1,2,7,1,3,5,3,1,1,0,0,8
dot-char4-char4,2,2,12,1,5,8,4,1,1,0,0,13
convert-ushort3-float3_rtp,1,2,7,1,3,5,3,1,1,5,0,8
convert-ushort3-float3_rtn,1,2,7,1,3,5,3,1,1,0,0,8
abs-diff-char,2,8,27,1,8,11,3,1,1,0,0,40
min-float8,2,8,27,1,8,11,3,1,1,3,0,40
fp2int_rint_with_shift,2,8,19,1,8,10,3,1,1,1,0,32
convert-ushort3-float3_rte,1,2,7,1,3,5,3,1,1,5,0,8
convert-ushort-short,1,1,3,1,0,2,2,1,1,5,0,2
min-float2,2,2,9,1,2,5,3,1,1,1,0,10
cross_loops_accumulation_add_v2i16,3,2,14,4,5,13,6,1,1,2,0,15
convert-uint3-short3,1,4,6,1,0,2,2,1,1,3,0,8
mult_rows_3D,3,16,45,1,32,35,5,1,1,11,0,81
cospi-float,1,1,4,1,1,3,3,1,1,8,1,3
quadratic_1_vec4,7,8,72,1,52,55,8,1,1,2,4,116
"min_ma , _i16_one_instr",2,2,11,1,4,7,3,1,2,0,0,16
abs_diff-short2,2,2,7,1,2,5,3,1,1,3,0,8
abs_diff-short3,4,2,12,1,3,7,3,2,1,3,0,14
abs_diff-short16,2,8,35,1,16,19,3,1,2,3,0,64
mad_hi-uint4,3,4,48,1,32,36,5,1,1,0,0,88
min-uchar8,2,4,19,1,8,11,3,1,2,3,0,32
mad_hi-uint2,3,4,26,1,16,20,5,1,1,0,0,44
abs_diff-short4,2,2,11,1,4,7,3,1,2,3,0,16
convert-ushort4-int4,3,2,6,1,0,3,2,2,1,1,0,5
min-uchar4,2,2,11,1,4,7,3,1,2,0,0,16
convert-uchar2-float2,1,2,5,1,2,4,3,1,1,14,0,5
